material_row,areal_density_gcm2,thickness_cm,shield_density_gcm3,energy_MeV,n_primaries,mean_edep_lead_MeV,composition
0,1.5,1.65746,0.905,20,1000,4.04652e-05,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,25,1000,0.000110124,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,30,1000,0.00466743,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,40,1000,0.000870544,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,50,1000,23.713,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,60,1000,38.6627,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,75,1000,57.9197,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,90,1000,73.5648,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,100,1000,84.4791,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,110,1000,94.861,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,125,1000,110.098,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,140,1000,123.359,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,150,1000,132.394,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,175,1000,155.715,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,1.5,1.65746,0.905,200,1000,177.563,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,5,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,10,1000,0.00160037,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,15,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,20,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,25,1000,0.0,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,30,1000,0.00252551,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,40,1000,0.0161789,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,50,1000,6.92653,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,60,1000,30.0183,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,75,1000,51.2705,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,90,1000,68.9877,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
0,2.0,2.20994,0.905,100,1000,80.3486,Carbon:0.856;Hydrogen:0.144;Oxygen:0;Nitrogen:0;Silicon:0;
